trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
234,False,"{'a': 0.7127999999999947, 'e': 0.7050405218642668}",30,0,-35.347759262910266,"{0: 23, 1: 0, 2: 7, 3: 0, 4: 0}",0
235,False,"{'a': 0.7119999999999946, 'e': 0.70398375385562095}",30,10,-16.38207196739989,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",1
236,False,"{'a': 0.7111999999999946, 'e': 0.70292856981071816}",25,0,-74.8917391785528,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
237,False,"{'a': 0.7103999999999946, 'e': 0.70187496735539412}",20,3,-13.445660993219299,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
238,False,"{'a': 0.7095999999999946, 'e': 0.70082294411904256}",20,4,-24.33301602982806,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
239,False,"{'a': 0.7087999999999945, 'e': 0.69977249773461103}",30,3,-75.68650412145932,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 0}",1
240,False,"{'a': 0.7079999999999945, 'e': 0.6987236258385946}",20,2,-47.895190880591215,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
241,False,"{'a': 0.7071999999999945, 'e': 0.69767632607103114}",20,4,-14.527857809429591,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
242,False,"{'a': 0.7063999999999945, 'e': 0.6966305960754956}",20,4,-6.258832832786441,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
243,False,"{'a': 0.7055999999999945, 'e': 0.6955864334990951}",20,4,-44.61795951293394,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
244,False,"{'a': 0.7047999999999944, 'e': 0.69454383599246339}",20,0,-61.80246882973282,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
245,False,"{'a': 0.7039999999999944, 'e': 0.69350280120975583}",35,0,-70.50849525561321,"{0: 25, 1: 1, 2: 8, 3: 1, 4: 0}",0
246,False,"{'a': 0.7031999999999944, 'e': 0.69246332680864342}",20,0,1.2387695785587447,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
247,False,"{'a': 0.7023999999999944, 'e': 0.69142541045030859}",20,0,-80.31686914629347,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
248,False,"{'a': 0.7015999999999943, 'e': 0.69038904979943883}",20,0,-174.9086978417268,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
249,False,"{'a': 0.7007999999999943, 'e': 0.68935424252422239}",30,4,-231.0787012473828,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 4}",1
250,False,"{'a': 0.6999999999999943, 'e': 0.68832098629634253}",25,0,-207.16690076656184,"{0: 17, 1: 0, 2: 1, 3: 3, 4: 4}",0
251,False,"{'a': 0.6991999999999943, 'e': 0.68728927879097224}",30,7,-12.817829258016335,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
252,False,"{'a': 0.6983999999999942, 'e': 0.68625911768676917}",25,0,-39.35883708317999,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
253,False,"{'a': 0.6975999999999942, 'e': 0.68523050066587032}",20,0,-80.97359768483466,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
254,False,"{'a': 0.6967999999999942, 'e': 0.68420342541388712}",20,0,-15.043173204056995,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
255,False,"{'a': 0.6959999999999942, 'e': 0.68317788961989967}",25,0,-21.22989234546654,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
256,False,"{'a': 0.6951999999999942, 'e': 0.68215389097645218}",20,16,6.550375715686305,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.6943999999999941, 'e': 0.68113142717954711}",25,0,-202.05879043325913,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
258,False,"{'a': 0.6935999999999941, 'e': 0.68011049592864059}",35,0,-103.26637117364723,"{0: 28, 1: 1, 2: 2, 3: 2, 4: 2}",0
259,False,"{'a': 0.6927999999999941, 'e': 0.67909109492663677}",25,0,-70.15437978716017,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
260,False,"{'a': 0.6919999999999941, 'e': 0.67807322187988317}",20,0,-63.05684826525059,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
261,False,"{'a': 0.691199999999994, 'e': 0.67705687449816465}",20,0,-1.5897099336254916,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
262,False,"{'a': 0.690399999999994, 'e': 0.67604205049469956}",20,0,-54.6694945063663,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
263,False,"{'a': 0.689599999999994, 'e': 0.67502874758613318}",20,0,-50.609655554566054,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
264,False,"{'a': 0.688799999999994, 'e': 0.6740169634925337}",25,17,11.168301044543202,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.687999999999994, 'e': 0.67300669593738649}",30,7,-1.4665734186668211,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
266,False,"{'a': 0.6871999999999939, 'e': 0.67199794264758894}",30,0,-66.1911502818503,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
267,False,"{'a': 0.6863999999999939, 'e': 0.67099070135344585}",20,8,-50.91709434717193,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
268,False,"{'a': 0.6855999999999939, 'e': 0.66998496978866395}",25,0,-188.58795514220802,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 4}",0
269,False,"{'a': 0.6847999999999939, 'e': 0.66898074569034671}",20,0,-102.61177833027797,"{0: 12, 1: 0, 2: 4, 3: 4, 4: 0}",0
270,False,"{'a': 0.6839999999999938, 'e': 0.66797802679898954}",25,8,-32.60177573893963,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
271,False,"{'a': 0.6831999999999938, 'e': 0.66697681085847438}",30,0,-84.77142201655722,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
272,False,"{'a': 0.6823999999999938, 'e': 0.66597709561606511}",35,25,3.001397995873411,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
273,False,"{'a': 0.6815999999999938, 'e': 0.66497887882240192}",20,0,-53.73747221349831,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
274,False,"{'a': 0.6807999999999937, 'e': 0.66398215823149653}",20,0,-65.12145051615157,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
275,False,"{'a': 0.6799999999999937, 'e': 0.66298693160072741}",25,0,-80.75211042475672,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
276,False,"{'a': 0.6791999999999937, 'e': 0.66199319669083401}",25,0,-120.06020212779504,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
277,False,"{'a': 0.6783999999999937, 'e': 0.66100095126591241}",20,0,-15.919085005544828,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
278,False,"{'a': 0.6775999999999937, 'e': 0.66001019309341014}",20,0,-48.97720030415806,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
279,False,"{'a': 0.6767999999999936, 'e': 0.65902091994412071}",30,0,-156.89799918823906,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
280,False,"{'a': 0.6759999999999936, 'e': 0.65803312959217919}",25,0,-93.50751651715052,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
281,False,"{'a': 0.6751999999999936, 'e': 0.65704681981505675}",20,0,-68.89007687438942,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
